Metric,Comparison,t-statistic,p-value,Mean Difference,Corrected p-value
completion_rate,Original vs TOAD-GAN,0.3466235339771946,0.7344204781263682,0.0357142857142857,1.0
completion_rate,Original vs TOAD-GAN Fitness,-2.9137730085313027,0.012084136511682417,-0.3571428571428572,0.07250481907009451
completion_rate,Original vs LVE,-2.5337664928360852,0.024946730642550815,-0.27142857142857135,0.14968038385530488
completion_rate,TOAD-GAN vs TOAD-GAN Fitness,-5.497885835017024,0.00010251484189516539,-0.3928571428571429,0.0006150890513709923
completion_rate,TOAD-GAN vs LVE,-4.444212766717935,0.0006616138788677124,-0.30714285714285705,0.003969683273206274
completion_rate,TOAD-GAN Fitness vs LVE,1.3117119482928095,0.21231040281021343,0.08571428571428585,1.0
solve_consistency,Original vs TOAD-GAN,0.9335076666652775,0.3675732884780125,0.07806290294428575,1.0
solve_consistency,Original vs TOAD-GAN Fitness,-2.3054918569326057,0.03826680250228986,-0.18003462784142843,0.22960081501373913
solve_consistency,Original vs LVE,-1.800233211275504,0.09506049407615588,-0.1648461393285715,0.5703629644569352
solve_consistency,TOAD-GAN vs TOAD-GAN Fitness,-4.27628171895228,0.0009020836006864417,-0.2580975307857142,0.00541250160411865
solve_consistency,TOAD-GAN vs LVE,-4.3020129922211705,0.0008600584138864591,-0.24290904227285726,0.005160350483318754
solve_consistency,TOAD-GAN Fitness vs LVE,0.2938480588592002,0.7735130219115107,0.015188488512856924,1.0
average_jumps,Original vs TOAD-GAN,-0.07603887270373337,0.9405459233365318,-0.15785714285714292,1.0
average_jumps,Original vs TOAD-GAN Fitness,-2.2312751723031514,0.04389773225999366,-4.684285714285712,0.26338639355996196
average_jumps,Original vs LVE,-0.34206800575910457,0.7377665239160428,-0.7578571428571426,1.0
average_jumps,TOAD-GAN vs TOAD-GAN Fitness,-4.586634933785857,0.000509944518580489,-4.5264285714285695,0.0030596671114829343
average_jumps,TOAD-GAN vs LVE,-0.4537524447400687,0.6574892398902293,-0.5999999999999996,1.0
average_jumps,TOAD-GAN Fitness vs LVE,4.651298956045918,0.00045345187765124536,3.92642857142857,0.002720711265907472
average_kills,Original vs TOAD-GAN,1.5926948520174051,0.13524250291720927,1.0942857142857143,0.8114550175032555
average_kills,Original vs TOAD-GAN Fitness,0.8907498039323974,0.38925154783852633,0.5614285714285712,1.0
average_kills,Original vs LVE,-2.5856903726646316,0.022611399550899122,-3.50642857142857,0.13566839730539473
average_kills,TOAD-GAN vs TOAD-GAN Fitness,-2.3828150798718126,0.033133135523744014,-0.532857142857143,0.1987988131424641
average_kills,TOAD-GAN vs LVE,-4.648402063283586,0.0004558382926319332,-4.600714285714284,0.0027350297557915994
average_kills,TOAD-GAN Fitness vs LVE,-4.188767633373861,0.0010615555816826697,-4.067857142857141,0.006369333490096019
average_time,Original vs TOAD-GAN,-0.45090534958189243,0.6594869141641673,-0.509678571428573,1.0
average_time,Original vs TOAD-GAN Fitness,-1.9127524132978213,0.07806403274552967,-2.205400000000001,0.468384196473178
average_time,Original vs LVE,-0.692369779668805,0.500886124543583,-0.8291714285714296,1.0
average_time,TOAD-GAN vs TOAD-GAN Fitness,-2.4556193861548827,0.028906072406028382,-1.695721428571428,0.1734364344361703
average_time,TOAD-GAN vs LVE,-0.5542400974706599,0.5888223772499581,-0.3194928571428566,1.0
average_time,TOAD-GAN Fitness vs LVE,3.909126392837612,0.0017949210311768316,1.3762285714285714,0.01076952618706099
